año;pos_tag;frecuencia
2017;PRP;49834
2017;RB;21402
2017;VBD;10066
2017;DT;26849
2017;NN;47120
2017;TO;6728
2017;VB;21003
2017;IN;30457
2017;PRP$;9010
2017;CC;7936
2017;VBZ;7201
2017;VBN;3833
2017;WRB;2812
2017;VBP;26319
2017;JJR;944
2017;NNP;25380
2017;JJ;18355
2017;MD;5445
2017;VBG;6632
2017;NNS;9784
2017;WDT;858
2017;JJS;398
2017;WP;1782
2017;CD;2195
2017;EX;434
2017;RP;3801
2017;POS;1033
2017;NNPS;145
2017;PDT;574
2017;RBR;305
2017;FW;376
2017;UH;280
2017;'';50
2017;RBS;47
2017;$;13
2017;WP$;7
2013;NNP;10637
2013;PRP;16464
2013;VBP;8504
2013;VBD;3858
2013;DT;10384
2013;NN;18051
2013;TO;2465
2013;VB;7220
2013;IN;10962
2013;NNS;3712
2013;PRP$;3425
2013;CC;3508
2013;RB;7213
2013;JJ;6561
2013;MD;2000
2013;JJS;164
2013;VBZ;3032
2013;VBN;1508
2013;CD;849
2013;WP;763
2013;RP;1302
2013;VBG;2497
2013;FW;87
2013;UH;93
2013;JJR;332
2013;POS;442
2013;WRB;1043
2013;WDT;343
2013;EX;226
2013;RBR;131
2013;PDT;172
2013;NNPS;78
2013;'';3
2013;RBS;13
2013;$;2
2013;WP$;2
2021;UH;221
2021;NN;44241
2021;VBP;22001
2021;RB;17929
2021;VB;16970
2021;PRP;41050
2021;IN;25438
2021;DT;22605
2021;NNP;22964
2021;CC;6808
2021;VBD;9624
2021;CD;2182
2021;TO;5467
2021;PRP$;7926
2021;MD;4697
2021;WP;1439
2021;JJ;16778
2021;WRB;2604
2021;VBN;3935
2021;NNS;8685
2021;WDT;717
2021;RP;3419
2021;POS;908
2021;VBG;4726
2021;VBZ;6175
2021;PDT;405
2021;JJR;666
2021;RBR;304
2021;'';50
2021;NNPS;86
2021;JJS;258
2021;FW;235
2021;EX;286
2021;$;2
2021;WP$;3
2021;RBS;36
2021;``;1
2021;SYM;1
2015;CD;1215
2015;JJ;9803
2015;NN;25539
2015;MD;3161
2015;VB;11438
2015;RB;11029
2015;TO;3748
2015;PRP;26986
2015;IN;16254
2015;PRP$;5015
2015;NNS;5396
2015;VBP;13872
2015;WRB;1746
2015;VBZ;4519
2015;VBN;2260
2015;NNP;13888
2015;DT;14765
2015;JJR;473
2015;RP;2159
2015;CC;4794
2015;WP;1205
2015;VBD;5697
2015;WDT;478
2015;VBG;3632
2015;EX;307
2015;PDT;320
2015;POS;595
2015;FW;71
2015;RBR;182
2015;NNPS;81
2015;JJS;220
2015;UH;150
2015;RBS;20
2015;'';13
2015;$;6
2015;WP$;2
2015;LS;1
2024;PRP;33520
2024;VBZ;5476
2024;DT;18884
2024;NNS;7119
2024;RB;14815
2024;JJ;13002
2024;IN;21042
2024;NN;34188
2024;CD;1772
2024;NNP;19872
2024;MD;3720
2024;VB;14344
2024;RP;2654
2024;PRP$;6502
2024;WP;1439
2024;VBP;17602
2024;TO;4866
2024;VBD;7281
2024;CC;6299
2024;NNPS;97
2024;VBN;2984
2024;WRB;2034
2024;POS;888
2024;JJS;298
2024;WDT;471
2024;VBG;4716
2024;EX;350
2024;PDT;404
2024;JJR;741
2024;FW;202
2024;$;11
2024;'';29
2024;UH;162
2024;RBR;204
2024;SYM;2
2024;RBS;33
2024;WP$;2
1994;PRP;2151
1994;VBP;1222
1994;VBG;267
1994;JJ;885
1994;PRP$;504
1994;NN;2292
1994;VBZ;419
1994;VBN;191
1994;DT;1291
1994;IN;1380
1994;NNP;1276
1994;TO;399
1994;VB;1186
1994;JJS;23
1994;RP;148
1994;RB;977
1994;MD;265
1994;POS;70
1994;CC;536
1994;WRB;165
1994;RBR;16
1994;EX;21
1994;WP;107
1994;VBD;399
1994;NNS;414
1994;JJR;58
1994;CD;80
1994;WDT;36
1994;PDT;36
1994;RBS;12
1994;NNPS;3
1994;WP$;15
1994;FW;2
1994;UH;5
2022;JJ;9613
2022;NN;24360
2022;RB;9479
2022;NNP;12803
2022;MD;2376
2022;PRP;24229
2022;IN;15325
2022;TO;3952
2022;VB;10431
2022;WP;1590
2022;VBZ;3386
2022;PRP$;3808
2022;DT;13513
2022;VBP;13789
2022;VBN;1701
2022;VBD;5461
2022;CC;4118
2022;POS;562
2022;NNS;4777
2022;VBG;2616
2022;CD;1130
2022;RP;1829
2022;UH;119
2022;JJR;414
2022;WRB;1484
