cancion_id;token;nltk_tag;spacy_pos;spacy_fine_pos
1;I;PRP;PRON;PRP
1;always;RB;ADV;RB
1;evaded;VBD;VERB;VBD
1;the;DT;DET;DT
1;truth;NN;NOUN;NN
1;Continued;VBD;VERB;VBD
1;to;TO;PART;TO
1;lose;VB;VERB;VB
1;a;DT;DET;DT
1;piece;NN;NOUN;NN
1;of;IN;ADP;IN
1;my;PRP$;PRON;PRP$
1;mind;NN;NOUN;NN
1;at;IN;ADP;IN
1;a;DT;DET;DT
1;time;NN;NOUN;NN
1;They;PRP;PRON;PRP
1;said;VBD;VERB;VBD
1;I;PRP;PRON;PRP
1;was;VBD;AUX;VBD
1;in;IN;ADP;IN
1;for;IN;ADP;IN
1;the;DT;DET;DT
1;win;NN;NOUN;NN
1;But;CC;CCONJ;CC
1;It;PRP;PRON;PRP
1;'s;VBZ;AUX;VBZ
1;not;RB;PART;RB
1;guaranteed;VBN;VERB;VBN
1;when;WRB;SCONJ;WRB
1;you;PRP;PRON;PRP
1;kill;VBP;VERB;VBP
1;to;TO;PART;TO
1;get;VB;VERB;VB
1;in;IN;ADP;RP
1;I;PRP;PRON;PRP
1;pray;VBP;VERB;VBP
1;to;TO;ADP;IN
1;the;DT;DET;DT
1;moon;NN;NOUN;NN
1;she;PRP;PRON;PRP
1;'s;VBZ;AUX;VBZ
1;greater;JJR;ADJ;JJR
1;than;IN;ADP;IN
1;I;PRP;PRON;PRP
1;Blood;NNP;NOUN;NN
1;for;IN;ADP;IN
1;blood;NN;NOUN;NN
1;yea;NN;ADJ;JJ
1;eye;NN;NOUN;NN
1;for;IN;ADP;IN
1;an;DT;DET;DT
1;eye;NN;NOUN;NN
1;If;IN;SCONJ;IN
1;it;PRP;PRON;PRP
1;'s;VBZ;AUX;VBZ
1;too;RB;ADV;RB
1;insidious;JJ;ADJ;JJ
1;Then;RB;ADV;RB
1;do;VBP;AUX;VBP
1;n't;RB;PART;RB
1;consider;VB;VERB;VB
1;this;DT;DET;DT
1;something;NN;PRON;NN
1;you;PRP;PRON;PRP
1;should;MD;AUX;MD
1;ever;RB;ADV;RB
1;fucking;VBG;INTJ;UH
1;try;VB;VERB;VB
1;no;DT;INTJ;UH
1;I;PRP;PRON;PRP
1;know;VBP;VERB;VBP
1;I;PRP;PRON;PRP
1;know;VBP;VERB;VBP
1;I;PRP;PRON;PRP
1;know;VBP;VERB;VBP
1;It;PRP;PRON;PRP
1;'s;VBZ;AUX;VBZ
1;not;RB;PART;RB
1;gon;JJ;VERB;VBG
1;na;TO;PART;TO
1;take;VB;VERB;VB
1;my;PRP$;PRON;PRP$
